Video Title,View Count,Like Count (of video),Comment Count,Text Display,Author Display Name,Like Count (of comment),Reply Count (of comment)
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,와퍼를 사랑해 주시는 버거킹 고객 여러분께 우리나라에 버거킹이 들어온지 40년을 기념하여 많은 분들이 사랑해주시는 와퍼를 더 맛있게 만들어 드리고 싶어 오랜 기간 제품 개선을 준비해왔습니다 내부적으로 많은 준비와 노력이 있었기에 달라진 점을 더 잘 알리고 싶은 마음에 와퍼 판매를 종료한다는 고지로 심려를 끼쳐드렸습니다 버거킹이 그간의 준비를 통해 개선한 세가지 변화는 다음과 같습니다 와퍼 번과 버거 번은 굽기 전 글레이징 과정을 추가하여 기존 번에서 촉촉함과 탄력을 한층 높였습니다 와퍼 패티는 텐더폼tenderform이라는 패티 성형 프로세스를 적용하여 고기와 고기 사이의 공기층을 만들어 순쇠고기 패티의 육즙을 더 잘 가둬놓아 식감 더 부드럽고 폭신해졌습니다 와퍼 패티 위에 솔트페퍼 시즈닝을 더함으로써 플레임 그릴 직화 패티의 불맛과 풍미가 더욱 잘 느껴지도록 하였고 전체적인 밑간의 밸런스도 더 좋아졌습니다 일련의 개선들은 고객님의 만족을 위한 노력이었으며 이에 따른 가격 변동은 없습니다 불맛으로 더 맛있어진 와퍼에 많은 사랑과 응원 부탁드립니다 버거킹마케팅 팀 일동 드림,@burgerking_korea,147,25
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,버거킹건,@zotaka1818,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,오랜만에 최수종을 cf에서 보니 재밌네요ㅎㅎ상조 cf말고,@happystudio139,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,솔트 페퍼 시즈닝 불맛의 감칠맛 제대로 살려줄거 같네요,@zudmarin2,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,154에서 보이는 음식의 육즙이 흐르는 장면 너무 맛있게 보여서 꼭 먹어보고 싶네요 앞으로 다양한 내용들로 계속해서 즐거움을 주시길 바라요 파이팅,@ajun94,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,소고기 육즙 가득 텐더폼 패티 영상만 봐도 군침이 싹 도는 건 안비밀,@Blue_moon12,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,소고기 육즙 가득 품은 텐더폼 패티,@pizzanara1,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,더 강렬해진 불맛의 왕 뉴 와퍼를 가장 잘 표현해주신 장면이 아닌가 생각합니다 말 그대로 불맛 자체인 뉴 와퍼는 불맛을 좋아하는 저같은 사람에게는 기대가 많이 되는 제품입니다 버거킹 기존에도 좋아해서 자주 갔지만 뉴 와퍼 먹으러 앞으로 더 자주 가지 않을까 생각됩니다 뉴 와퍼 맛있게 먹을게요 좋은 메뉴 만들어주셔서 감사합니다 뉴 와퍼 대박나자,@richgogo,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,뉴 와퍼에 왕관 씌워주는 거 킹받는데 맛있겠다,@shyuo,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,뉴 와퍼에 왕관 씌우자 이건 햄버거의 왕이라고 느껴졌어요 보기만해도 맛있겠어요 버거킹 뉴 와퍼 좋아요,@skaehdls,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,불맛의 풍미를 높이는 솔트페퍼 시즈닝을 보면서 뉴 와퍼 불맛이 강렬해졌을지 기대가 많이 되었어요 더 강력하게 돌아온 뉴 와퍼 맛있게 먹을게요 맛있는 뉴 와퍼 만들어주셔서 감사합니다,@strikefake1,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,장면 보고 참아요 ㅋㅋ 불맛의 왕 뉴 와퍼 한입만 먹어도 반해버릴거 같아요,@appleazir,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,최수종님이 모델이라 광고일지 궁금했는데 뉴 와퍼의 특징을 잘 담아내주신거 같아요 특히 장면이 기억에 남았어요 최수종님이 사극에서 왕으로 자주 나오시는데 이미지랑 겹치면서 불맛의 왕 뉴 와퍼를 가장 잘 표현하지 않았나 생각합니다 왕으로 돌아온 뉴 와퍼 우리나라에서 최고로 사랑받는 제품이 되길 응원하고 함께하겠습니다,@chachacha91,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,촉촉하고 쫄깃하게 구워낸 글레이즈드 번,@liffeyriver,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,소고기 육즙을 가득 품은 텐더폼 패티라니 뉴 와퍼는 맛있을지 기대되요 더 강렬해진 불맛의 왕 뉴 와퍼 최고야,@ESGALMS,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,저는 패티에 후추 시즈닝이 더해진 게 신의한수인 같아요 예전에도 맛있게 먹었지만 더 짭짤한 맛이 가미되면서 맛이 완벽해진 듯,@onsamy,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,불맛의 왕을 제대로 표현해주셔서 장면 보자마자 먹으러 가야겠다고 생각했어요 불맛의 왕으로 돌아온 뉴 와퍼 이건 혁명이야 더 강렬해진 불맛의 왕 뉴 와퍼 최고에요,@priderich,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,솔트 앤 페퍼 시즈닝 후추맛과 간이 더 진해졌다고 하는데 꼭 먹어봐야겠습니다 ㅎㅎ,@jihoopark88,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,육즙이 그대로 살아있는 텐더폼 패티 넘 궁금 뉴와퍼 기대돼요,@yerimleelee,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,글레이즈드번이 특히 달라졌다는 말이 많더라구요 궁금,@gimcherry,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,텐더폼 패티가 가장 기대돼요,@mangocookie94,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,뉴 와퍼로 다시 태어나면서 왕관 씌어주는게 기억에 남았고 맛있게 먹을 수 있겠다는 생각이 들었습니다,@msalphabetbard,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,보기만해도 먹음직스러워보여요 불맛의 왕으로 돌아온게 잘 느껴져서 한입 크게 베어먹고싶네요 불맛의 왕 뉴 와퍼 대박,@naturem-hx8su,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,불맛의 왕으로 돌아온 뉴 와퍼에 왕관이라니 왕의 귀환인가요 불맛을 개인적으로 좋아하는데 뉴 와퍼는 정말 신세계일거 같아요 맛있게 먹어볼게요,@stockmeta8210,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,더 강렬해진 불맛의 왕 뉴 와퍼 완전 내맘에 쏙 이제야 나타나셨는지 일단_공유 꾹 구독꾹 좋아요꾹 알람꾹 유튜브에서 맘껏 달려봐요 깨알같이 즐거운 소식 기다리며 응원할게요 화이팅,@igalam622,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,와퍼가 판매종료된다고해서 정말 아쉬웠는데 더 강렬해진 불맛으로 재탄생한다니 진심 기대되네요 뉴와퍼 먹으러 달려가야겠어요,@sysy_8318,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,더 강렬해진 불맛의 왕 뉴 와퍼를 가장 잘 표현해주신 장면이라 가장 먹고 싶다는 생각을 불맛이 잘 느껴질지 완전 기대되네요,@overreign-gx2nz,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,진짜 불타오르네 불맛 뼛속까지 느껴보고싶어요,@vamosmin,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,가슴이 웅장해지는 장면이였어요 왕좌로 돌아온 뉴 와퍼 이제 시장 접수하러 갈때가 된거 같아요 ㅋㅋ 불맛의 왕 뉴 와퍼 완전 대박날 느낌,@candoit1,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,더 강렬해진 불맛의 왕 뉴 와퍼 보기만해도 정말 맛있게 먹을 수 있을거 같아서 가장 기대되는 장면이였어요 버거킹 뉴 와퍼는 즐거움을 선물해주실지 완전 기대되요,@user-fs8gh3cz1d,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,드디어 뉴 와퍼에 왕관이 수여 되었는데 가슴이 두근두근 뉴 와퍼가 너무 기대되고 먹고 싶었어요,@user-in1vu9cs2j,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,뉴 와퍼에 왕관을 씌우면서 앞으로가 더 기대되는 뉴 와퍼를 잘 표현해주신거 같아요 불맛의 왕 뉴 와퍼 정말 기대됩니다,@clwiyiii,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,새롭게 등장하면서 더욱 촉촉해진 폭신한 글에ㅣ즈 번을 보라 패티를 신경쓰는 곳은 많은데 은근 번을 신경 쓰는 곳은 별로 없는 거 같더라고요 우리의 버거킹은 역시 이름값을 하네요 글레이즈 번이라니 불맛나는 두툼한 패티와 더욱 쵹쵹해진 글레이즈 번을 한입에 베어문다면 그게 행복이죠 암요 ㅠ 거기다 도톰한 감자튀김을 케찹에 듬뿍 찍어 뇸뇸 다음엔 감튀와의 조합도 자랑해주세요 있으면 서로 열배로 더 맛있어보이그든여 ㅜ 왕관을 멋드러지게 쓴 장면을 보니 더욱 군침이 싸악 도네요 지금 배고파서 두배로 맛있어 보이는 건 함정 강렬한 불맛의 향연을 저도 입안 가득 느끼고 싶네요 요새 나오는 수제버거는 노노 저렇게 한입 가득 베어물고 먹는 갓나온 와퍼가 제일 맛있어요 맨날 버거만 먹다가 어렸을 적 친구가 처음 맛있다며 데려간 버거킹을 잊지 못해요 뒤로 햄버거는 고민않고 무조건 버거킹으로 직행합니다 시간이 흘렀어도 내 마음은 그대로 역시 햄버거는 버거킹이죠 오늘 저녁은 버거킹이다,@marijoaaa,1,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,크 왕위의 왕이라니 역시 와프는 와퍼 뉴 와퍼에 귀여운 왕관이라니 저대로 나오면 좋겠어요,@user-mu1nz5fw6l,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,강감찬장군님의 등장이라니 더 강렬해졌네요,@user-um2gj1yy7m,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,불맛이 강해져 돌아온 비주얼 미쳤 불타오르는 뉴 와퍼 기존의 와퍼도 맛있었는데 더 맛있어지고 가격도 동결이면 사랑할 수 밖에 없죠 40주년 기념으로 소비자를 위해 한걸음 더 나아간 뉴 와퍼 지금처럼 앞으로도 단종은 절대 노노 오래도록 있어줘요 100년200년도 가야한다구,@DW_KIM,1,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,킹 오브 킹 버거킹 뉴 와퍼 매일매일 먹고 싶은맛 뉴 와퍼가 오래오래 많은 사랑 받기를 응원하고 버거킹 더 많이 먹겠습니다,@himnae90,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,더 강렬해진 불맛의 왕 너무 맛있어 보이네요 왕관을 쓴게 귀여워요 패티랑 번이 업그레이드됐다고 들었는게 바꼈는지 한번 먹어봐야 겠어용,@ocd6202,0,0
"[버거킹] 더 강렬해진 불맛의 왕, 뉴와퍼",1240931,896,851,더 강렬해진 불맛의 왕 뉴 와퍼 좋아요 홧팅 자주 소통하고 많은 이야기 나누자구여,@eunbitfox,1,0
