Video Title,View Count,Like Count (of video),Comment Count,Text Display,Author Display Name,Like Count (of comment),Reply Count (of comment)
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,samsung s22 ultra iphone pro leo lloros,@alexveramonrroy_xd9803,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,omg vid came one day birthday,@Paris40496,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,652m ep get ahora segundo álbum nj reproducido spoty superando omg,@lizzyoregel5841,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,whats ets,@Rusitii,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,ela destrói carreiras muitos,@JosianeGoncalves-yj7xz,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,hanniii,@JosianeGoncalves-yj7xz,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,adoro vocês demais,@JosianeGoncalves-yj7xz,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,who,@hannah-mm7dz,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,best girl song love croatia,@bornacabrijan,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,red velvet cover brought love version,@janjo_,2,1
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,cwy,@k_obsessed1030,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,like youre human master time travel eta isnt used anymore,@1nappeunnyeon,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,backwards spell ate,@Immexican391,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,난 애플여서 그랬던건데 지금 보니깐 개웃기넼ㅋㅋㅋ eta 부제는 꼴통들의 망상으로 합시다 빈지노부터 너까지,@user-mi2tp7kw3w,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,alguien hable español xdd,@susanajorgegallardo4975,2,1
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,651m muchísimas felicidades bien merecido premio billboard mejor grupo hagan caso hater ustedes siempre tendrsn ma apoyo,@lizzyoregel5841,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,love theyre dancing phone hand,@QueenieBobaKat,1,1
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,song catchy,@TheBandGhostMemes,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,김홍남이 원곡아님,@ming8441,0,1
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,중독성있다,@user-fc8lq3jk8r,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,可愛い,@riyato261,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,transition hanni totally lying,@user-kd3mo2vq6b,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,congratulation newjeans group year newjeansxbillboard bbwomeninmusic,@yramecargamser8895,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,65m ditto entro top número semanas contando lista canciones kpop ma semanas billboard japón hot,@lizzyoregel5841,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,argentina haciendo stream,@s0ft-tr7do,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,혜린이 미쳤다,@user-uz5om4vp8r,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,whats eta,@user-ej3dv8ks6p,0,1
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,649m ep get puesto lista álbumes mundiales billboard semana semana lista,@lizzyoregel5841,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,オイシイハナシモコナイドテイヘン,@user-kl9mw4pq2w,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,私がアイドルと共にスマホの広告を打つという仕事を受けたとしますmvの中でスマホをアイドルに持ってもらったり機能が分かるような映し方をするくらいしか思い浮かびませんそれをミンヒジン代表やシンウソク監督の手にかかるとmvすべてをスマホで撮影するスマホ通話噂話という物語を作るという斬新なアイデアになりますnewjeansのメンバーの才能だけでなく作り手のクリエイティビティは世界随一のものだと思います韓国は素晴らしいクリエイターを何人も抱えています,@user-ju7qi4il3c,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,hanni bombastic eye sight see eva boyfriend another girlfriend,@mithrahshriapvikneswaranmo6697,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,nj superado 74m seguidores spoty nj 5to lugar artista kpop oyentes mensuales spoty18088918 felicidades,@lizzyoregel5841,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,who,@Bella-pf8dy,3,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,뉴진스에 아이폰 ㄷㄷㄷ,@twosome_love,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,still remember came youtube spoiled chorus,@Blakiedoo,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,wan na stan new jean teach guy,@Justanotheskzfan,0,1
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,holaa,@tzumom,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,واووو,@user-co4ip7gm1t,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,puedes mandar mensaje,@CarmenEspinoza-mt1ot,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,あなたはこの動画がiphone14proで撮られた事が信じられますか,@user-lk3rf8fe7m,3,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,adictiva canción,@lizzyoregel5841,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,thought getting call lol,@emsandcora,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,sii nj hizo challenge iu holssi revista corea mujeres despertaron dijo celebridades femeninas influido vida jeon hyejinnj saca niña llevo dentro cada mujer importar edad mujeres amado lados diferentes,@lizzyoregel5841,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,alguien,@Kpop_jpop42,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,always comeback hannis face,@Lynv,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,moito roim,@nabiiita,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,ak eskuxando mierda x polola,@sicozis,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,newjeans mejores soporten,@vivianazamora8230,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,actually didnt one second think ad,@vijaynair5098,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,안녕하세요 저는 당신의 팬입니다 인사드립니다,@user-qu7gc8lo9c,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,644m ditto ahora canción número reproducidas grupo kpop spoty nj primer lugar grupo 4ta generación canciones 200m spoty nj superado 11b transmisiones melon grupo 4ta generación rápido superar marca578 días,@lizzyoregel5841,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,one lovely lady call eta 1min,@gino0009,0,1
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,這首 真的很棒,@hedyyang10,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,september 10th recorded,@PungDeoKwan1996,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,si homa,@garrettmcneil2648,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,vibeee,@mystiqur1148,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,643m nj ganó premios kma canción añoditto mejor canción añoditto mejor álbum añoget extienden récord grupo 4ta generación ma daesangs9 ditto convierte canción ma daesangs historia5 ditto gee next level únicas canciones grupo chicas historia ganar canción año kma hyein llamadoel favorito iu incluso kmedia minji haerin generaron total 11m dolares cada semana moda masculina semana alta costura nj ranking reputación grupos rookie marzo,@lizzyoregel5841,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,love music,@camilaelizabethzapatasimon1498,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,let goo 70m,@user-zb8co4zl3k,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,newjeans,@user-zb8co4zl3k,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,etaa,@user-zb8co4zl3k,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,민지랑해린이랑다니엘좋아하는사람,@user-sw7be2hl4y,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,comback hearttttt,@nuraalola6320,4,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,let make flower bloom fan love,@user-dw8hy5om8u,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,jghkjf,@user-ob4co2ny4p,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,ur estimated arrival arrival time,@haoquin254,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,642m nj ahora supera 38b reproducciones spoty artista kpop rap lograrlo proyectos nj ma reproducidos youtube music 1new jeans1234b 2omg1061b 3get up803m 4njwmx158m,@lizzyoregel5841,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,alguém,@twiceonly.,3,1
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,whats eta stuck head forever,@user-zf5bo4id7s,3,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,omg,@mede_jennie3,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,need friend like protective u boyfriend tell fact deserve better way frown bf,@samyu_slays,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,2024년의 사람들,@wassup_1239,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,nj seran invitadaa especiales gira mundial iu super shy semanas billboard global lista billboard kpop artistas 11minjila miembro mayor rango grupo chicas 12hanni 13danielle 14haerin 14hyein,@lizzyoregel5841,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,ttiene aamante,@marti603,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,ハニちゃん可愛すぎだろ,@user-ns1jp7pj4j,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,다시들어도 명곡이지 올해도 뉴진스가 씹어먹자 반년째 공백기임,@user-kh3zy8tq8r,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,amoo canción favorita,@johans1016,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,lol,@bhartikoli8845,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,mt eta estimated time arrival,@bhartikoli8845,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,song ad iphone made whole song addicting,@NewJeans.111,179,6
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,강해린 진짜 너무 내여친,@user-bt1yu3up8h,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,좋아요,@user-ox9mn4my4k,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,lyric make sense,@tengher1035,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,newjeans kepohci loveeeeee,@anyemkkkk,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,eta terangkan lah,@miss.all.sunday123,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,hanni bias,@friendstilltheend687,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,name hyejin,@luvvrshyejjins_edits,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,view,@ardianyud,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,뉴진스 멋져요,@user-iq9by4si2v,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,639m hyein aparecerá primera vez portada edición mayo japón ditto ahora canción grupo chicas ma str3am spoty omg ahora canción ma reproducida grupo kpop spoty ditto semanas contando lista canciones actos kpop billboard japón hot,@lizzyoregel5841,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,hacer stream,@MaylovsKpop,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,minji queen,@belen9327,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,stream solo jennie,@belen9327,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,gusta intro largas finale largostanto difícil hacer estream,@user-iz1fd5ei3z,0,1
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,hannis smile cute,@michelleceleste2047,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,minji look like girl f4 boy flower gorya,@kcsolis4652,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,eve look adam,@jajan.murahASMR4K,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,filmed iphone amazing,@hann1_v3rse,3,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,shitjeans,@supahotkittyz,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,horrible jean,@supahotkittyz,0,0
